"id","sender_id","type_name","timestamp","intent_name","action_name","data"
60,"d45ccb3c39f34755bed2f8533553f6ef","user","1692084767.1811452","affirm",NULL,"{""event"": ""user"", ""timestamp"": 1692084767.1811452, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""yes"", ""parse_data"": {""intent"": {""name"": ""affirm"", ""confidence"": 0.9997698664665222}, ""entities"": [], ""text"": ""yes"", ""message_id"": ""949272156c2446e5bab742cdb490d525"", ""metadata"": {}, ""text_tokens"": [[0, 3]], ""intent_ranking"": [{""name"": ""affirm"", ""confidence"": 0.9997698664665222}, {""name"": ""compare_reviews"", ""confidence"": 0.00013780791778117418}, {""name"": ""how_to_get_started"", ""confidence"": 4.8594578402116895e-05}, {""name"": ""deny"", ""confidence"": 1.99926107598003e-05}, {""name"": ""search_venues"", ""confidence"": 1.5116405847948045e-05}, {""name"": ""thankyou"", ""confidence"": 6.436817784560844e-06}, {""name"": ""search_concerts"", ""confidence"": 1.8900473151006736e-06}, {""name"": ""goodbye"", ""confidence"": 2.537443606343004e-07}, {""name"": ""greet"", ""confidence"": 3.093931510989023e-08}]}, ""input_channel"": ""cmdline"", ""message_id"": ""949272156c2446e5bab742cdb490d525""}"
61,"d45ccb3c39f34755bed2f8533553f6ef","user_featurization","1692084767.23167",NULL,NULL,"{""event"": ""user_featurization"", ""timestamp"": 1692084767.23167, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""use_text_for_featurization"": false}"
62,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084767.231689",NULL,"action_set_music_preference","{""event"": ""action"", ""timestamp"": 1692084767.231689, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_set_music_preference"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
63,"d45ccb3c39f34755bed2f8533553f6ef","slot","1692084767.2317219",NULL,"likes_music","{""event"": ""slot"", ""timestamp"": 1692084767.2317219, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""likes_music"", ""value"": true}"
64,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084767.237345",NULL,"utter_awesome","{""event"": ""action"", ""timestamp"": 1692084767.237345, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""utter_awesome"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
65,"d45ccb3c39f34755bed2f8533553f6ef","bot","1692084767.237379",NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1692084767.237379, ""metadata"": {""utter_action"": ""utter_awesome"", ""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""Awesome! You can ask me things like \""Find me some concerts\"" or \""What's a good venue\"""", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
67,"d45ccb3c39f34755bed2f8533553f6ef","user","1692084776.8363461","search_venues",NULL,"{""event"": ""user"", ""timestamp"": 1692084776.8363461, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""What's a goog venue"", ""parse_data"": {""intent"": {""name"": ""search_venues"", ""confidence"": 0.5505508184432983}, ""entities"": [], ""text"": ""What's a goog venue"", ""message_id"": ""2e9cb51031144f79a965beaad6747e3f"", ""metadata"": {}, ""text_tokens"": [[0, 4], [5, 6], [7, 8], [9, 13], [14, 19]], ""intent_ranking"": [{""name"": ""search_venues"", ""confidence"": 0.5505508184432983}, {""name"": ""compare_reviews"", ""confidence"": 0.2075323611497879}, {""name"": ""how_to_get_started"", ""confidence"": 0.07094529271125793}, {""name"": ""affirm"", ""confidence"": 0.04717147350311279}, {""name"": ""goodbye"", ""confidence"": 0.04040282592177391}, {""name"": ""greet"", ""confidence"": 0.03425817936658859}, {""name"": ""thankyou"", ""confidence"": 0.023248497396707535}, {""name"": ""search_concerts"", ""confidence"": 0.017849696800112724}, {""name"": ""deny"", ""confidence"": 0.008040795102715492}]}, ""input_channel"": ""cmdline"", ""message_id"": ""2e9cb51031144f79a965beaad6747e3f""}"
68,"d45ccb3c39f34755bed2f8533553f6ef","user_featurization","1692084776.881239",NULL,NULL,"{""event"": ""user_featurization"", ""timestamp"": 1692084776.881239, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""use_text_for_featurization"": false}"
69,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084776.8812559",NULL,"action_search_venues","{""event"": ""action"", ""timestamp"": 1692084776.8812559, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_search_venues"", ""policy"": ""TEDPolicy"", ""confidence"": 0.99861741065979, ""action_text"": null, ""hide_rule_turn"": false}"
70,"d45ccb3c39f34755bed2f8533553f6ef","bot","1692084776.881325",NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1692084776.881325, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""here are some venues I found"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
